ADBCode,Description,Date and Version Number,Completed
SPA9019,SPACE for mobile lead apron rack,,
SPA9020,SPACE for difficult airway trolley,,
SPA9021,SPACE for mobile x-ray,,
SPH002,"SPHYGMOMANOMETER, wall mounted",v0.1,
SPH003,"SPHYGMOMANOMETER, rail mounted.",17/04/19 v0.1,
STA101,"STAND, lotion bowl, single, stainless steel, (Bowls not included)",17/04/19 v0.1,
STA142,"STAND, infusion, twin hook, breaks, mobile",17/04/19 v0.1,
STA9101,"STAND, lotion bowl, single, stainless steel, (Bowls included)",,
STF-02,"CONTROLLED DRUGS CUPBOARD with power and call connection (STF9103 x1, OUT050 x1, LIG138 x1)",,
STF165,"STORAGE UNIT, lower, 6 drawer, on castors, 600H 600W 450D",,
STF200,"STORAGE UNIT, mid, shelf, 150H 300W 150D",,
STF9000,"STORAGE UNIT, lower, cupboard, 1 door, 1 shelf, right handed, 865H 600W 565D",,
STF9001,"STORAGE UNIT, lower, cupboard, 1 door, 1 shelf, left handed, 865H 600W 565D",,
STF9003,"STORAGE UNIT, lower, 6 drawer, lockable, 865H 600W 565D",,
STF9004,"STORAGE UNIT, lower, cupboard, 1 door, 1 shelf, lockable, right handed, 865H 600W 565D",v0.1,
STF9005,"STORAGE UNIT, lower, cupboard, 1 door, 1 shelf, lockable, left handed, 865H 600W 565D",,
STF9009,"STORAGE UNIT, Non-ferrous MRI compatible, MRI coil storage, lockable,  1400H 1870W 600D",,
STF9101,"STORAGE UNIT, upper, cupboard, 1 door, 1 shelf, left handed, sloping top, 600H 600W 300D",,
STF9102,"STORAGE UNIT, upper, cupboard, 1 door, 1 shelf, right handed, sloping top, 600H 600W 300D",,
STF9104,"STORAGE UNIT, upper, cupboard, 1 door, 1 shelf, left handed, lockable, sloping top, 600H 600W 300D",,
STF9105,"STORAGE UNIT, upper, cupboard, 1 door, 1 shelf, right handed, lockable, sloping top, 600H 600W 300D",,
STF9200,"STORAGE UNIT, upper, cupboard, medicine, 2 door, lockable, sloping top, 550H 600W 300D",,
STO003,"STOOL, height adjustable, on slides, 600-750H 320 dia.",v0.1,
STO004,"STOOL, height adjustable, swivel, mobile",v0.1,
STO006,"STOOL, surgeon/anaesthetist, height adjustable, includes anti-static seat pads",17/04/19 v0.1,
STO020,"STOOL, anatomic, backrest, armrests, height adjustable",,
SUC001,"SUCTION UNIT, pipeline, high/low pressure, rail/wall mounted",,
SUC002,"SUCTION UNIT, pipeline, high pressure, theatre",17/04/19 v0.1,
SUC005,"SUCTION UNIT, electric, mobile, 845H 470W 410D",17/04/19 v0.1,
SUC9000,"SUCTION UNIT, non ferrous, single jar, floor standing",17/04/19 v0.1,
SWC031,"SWITCH dimmer, fixed position, wall mounted",,
SWC033,"SWITCH dimmer, 3 position, wall mounted",,
SWC034,"SWITCH, dimmer, modulating",,
SWC062,"EMERGENCY STOP switch button, wall mounted",,
SWC076,"SWITCH, 'Room in use' illuminated sign.",,
SWC9002,"SWITCH, EMERGENCY, quench button",,
SYR001,"SYRINGE INJECTOR, automatic, hi pressure injection, contrast media",v0.1,
SYR002,"SYRINGE pump, battery operated, 366H 127W 80D",v0.1,
SYR004,"SYRINGE pump, anaesthetic use, with diprifusor, 115H 400W 180D",17/04/19 v0.1,
SYR005,"SYRINGE INJECTOR, MRI compatible, automatic, hi pressure injection, media contrast",v0.1,
TAB007,"TABLE, 710H 900W 900D",,
TAB014,"TABLE, 710H 1800W 900D",,
TAB028,"TABLE, circular, 710H 900mm dia.",17/04/23 v0.1,Done
TAB053,"TABLE, occasional, square, 415H 610W 610D",,
TAB056,"TABLE, occasional, round, 415H 610mm dia.",17/04/19 v0.1,
TAB077,"TABLE, surgical procedures, radiotranslucent o/a  1005H 2100W 835D",17/04/19 v0.1,
TES-01,"TEST Snellen, 3m, with controls (TES004 x1, OUT052 x1)",,
TOA003,"TOASTER, automatic, electric, 2 slices, model 60 slices per hour, 1.25kW loading",,
TOU9000,"TORNIQUET,  automatic, digital, dual limb/channel 1050H 345W 385D",,
TRA024,"TRACK, curtain, three sided, U-shape, 1000L 900W",,
TRA104,"TRACK, curtain, one sided, 2500mm length",,
TRA106,"TRACK, curtain, one sided, 4000mm length",,
TRA110,"TRACK, curtain, one sided, 3600mm length",,
TRA122,"TRACK, curtain, two sided, L-shape, curved, 2900L 2600W",,
TRA125,"TRACK, curtain, two sided, L-shape, 2700L 2300W",,
TRA130,"TRACK, curtain, two sided, L-shape, 2400L 1800W",,
TRA131,"TRACK, curtain, two sided, L-shape, 2700L 2400W",,
TRA145,"TRACK, curtain, door, three sided, U-shape, 1200L 1600W",,
TRA375,"TRACK, curtain, three sided, U-shape, 2700L 2300W",,
TRA9014,"TRACK, curtain for observation panel, 1800mm",,
TRF002,"AUTOTRANSFUSION cell separator, mobile, built in air and foam detector, 1620H 270W 585D",17/04/19 v0.1,
TRO-01,"TROUGH, scrub-up, triple, hospital pattern, stainless steel, triple, with services (TRO603 x1, TAP892 x3, WAS102 x1, WAS108 x1, DIS029 x3, DIS025 x3, DIS006 x3, OUT001 x3)",,
TRO024,"TROLLEY  cleaners, bucket, disposable mop head",,
TRO068,"TROLLEY, cleaners, mop bucket, 3 shelves tray and waste sack holder, 980H 1170W 550D",,
TRO131,"TROLLEY, dressing/instrument, stainless steel, buffered, 870H 450W 450D",v0.1,
TRO133,"TROLLEY, dressing/instrument, stainless steel, buffered, 870H 750W 450D",v0.1,
TRO135,"TROLLEY, dressing/equipment, 6 clear trays, buffered,  890H 510W 480D",17/04/19 v0.1,
TRO139,"TROLLEY, dressing/instrument, MRI compatible, 870H 450W 450D",17/04/19 v0.1,
TRO147,"TROLLEY ENT endoscope, 1205H 483W 650D",17/04/19 v0.1,
TRO181,"TROLLEY, general purpose, 3 tier, buffered, 950H 890W 590D",v0.1,
TRO201,"TROLLEY, instruments, stainless steel, buffered, 870H 920W 620D",v0.1,
TRO204,"TROLLEY instrument tray MAYO, 650W 450D",v0.1,
TRO207,"TROLLEY SSD return, 2 door, nominal 970H 1140W 725D",,
TRO208,"TROLLEY, double sided, drug/pharmaceutical distribution, with locked boxes -30 boxes, 1000H 1450W 490D",17/04/19 v0.1,
TRO235,"TROLLEY, contaminated linen, single ring, stainless steel",v0.1,
TRO267,"TROLLEY, phlebotomist's, 985H 495W 460D",v0.1,
TRO281,"TROLLEY PATIENT, with brakes, 800H 2050W 550D",v0.1,
TRO282,"TROLLEY PATIENT, accident, image top, with tilt and brakes, 540-1000H 740W 2110D",17/04/19 v0.1,
TRO301,"TROLLEY, plaster",v0.1,
TRO310,"TROLLEY, emergency/resuscitation, complete with defibrillator, 955H 825W 575D",v0.1,
TRO9006,"TROLLEY, Suture. 1814x1200x450mm",v0.1,
TRO9007,"TROLLEY, catheter, hanging",v0.1,
TRO9008,"TROLLEY, storage, 6 clear trays, with doors, approx 790H 513W 482D",,
TRO9013,"TROLLEY, supplies, 6 clear trays, MRI compatible",v0.1,
TRO9027,"TROLLEY, laparoscopic system  approx. 1580H 835W 750D",v0.1,
TRO9031,"CART, operating table accessories, approx 1550H 900W 805D",,
TRO9032,"TROLLEY, difficult airway, approx 1110H 790W 610D",,
TRO9033,"TROLLEY, Intubation",,
TRO9034,"TROLLEY PATIENT, powered drive",,
TRO9046,"TROLLEY, surgical instruments, fixed shelves, sides down, stainless steel, small 870H 470W 470D",,
TRO9047,"TROLLEY, surgical instruments, fixed shelves, sides down, stainless steel, medium 870H 620W 470D",,
TRO9048,"TROLLEY, surgical instruments, fixed shelves, sides down, stainless steel, large 870H 770W 470D",,
TRO9049,"TROLLEY, surgical instruments, fixed shelves, sides down, stainless steel, X-large 870H 920W 470D",,
TRO9050,"TROLLEY, double procedure, 9 drawer, lockable, 1010H 1125W 545D",,
TRO9310,"TROLLEY, emergency/resuscitation, complete with defibrillator, paediatric, 955H 825W 575D",,
TVM-01,"TELEVISION with integrated DVD, wall mounted bracket, aerial & power outlet, (BRA015 x1, OUT9010 x1, OUT206 x1, TVM9001 x1)",,
TVM-05,"TELEVISION monitor, flat screen, colour, 32"", wall mounted (TVM9003 x1, BRA9005 x1, OUT010 x1, OUT121 x1)",,
TVM-07,"TELEVISION, 43"", wall mounted (TVM9002 x1, BRA9009 x1, OUT010 x1, OUT121 x1)",,
ULT015,"ULTRASOUND SCANNER, general purpose, mobile",17/04/19 v0.1,
ULT-02,"ULTRASOUND, computed sonography and ultrasound warmer couplant gel (ULT017 x1, WAR051 x1)",,
ULT9004,"ULTRASOUND, intravascular",,
ULT9006,"ULTRASOUND, CVA guidance unit",,
UPS9001,"UPS, for image data capture, under counter, 300mm H x 200mm W x 600mm D",,
VAP9000,Anaesthetic Vaporiser,,
VEN-02,"VENDING MACHINE, cold snacks, including power (OUT056 x1, VEN001 x1)",,
VEN025,"VENTILATOR, portable, adjustable minute volume, 460H 470W 310D",17/04/19 v0.1,
VEN9000,"VENT DUCT, helium quench, to size required by length of run",,
WAR009,"WARDROBE, 2100H 300W 700D",,
WAR053,"WARMER, blood/fluid, maintains temperature between 36 and 43 deg.C at flow rates up to 500 ml/min, 35H 235W 273D",17/04/19 v0.1,
WAR058,"WARMING UNIT patient, forced air warming therapy, mobile, 330H 250W 280D",17/04/19 v0.1,
WAR9001,"WARDROBE, built in, with desk, storage to architects design",,
WAS-03,"DISHWASHER, under bench, high temperature (WAS065 x1, OUT052 x1, OUT301 x1, OUT342 x1)",,
WAS-05,"DISHWASHER, under bench, domestic (WAS070 x1, OUT006 x1, OUT052 x1, OUT301 x1, OUT342 x1)",,
WAT-01,"BOILER, water with water and power supply (OUT052 x1, OUT301 x1, WAT015 x1)",,
WCA-01,"WC, patient/staff/visitor (CIS005 x1, WCH001 x1)",,
WCA-02,"WC, Assisted/Wheelchair (CIS005 x1, WCH005 x1)",,
WCA-03,"WC, Bariatric (CIS005 x1, WCH9002 x1)",,
WKT140,"WORKTOP, cantilevered from wall, 600W 650D",,
WKT144,"WORKTOP, cantilevered from wall, 1200W 650D",,
WKT146,"WORKTOP, cantilevered from wall, 1500W 650D",,
WKT148,"WORKTOP, cantilevered from wall, 1800W 650D",,
WKT152,"WORKTOP, cantilevered from wall, 2400W 650D",,
WKT9009,"WORKTOP, cantilevered from wall, diameter pedestal base table, with chrome 5 Star Base and support legs 1200Dia x 755H",,
WOR074,"WORKTOP, 2400W 900D",,
WOR115,"WORKTOP, 1200W 600D",,
WOR122,"WORKTOP, 1800W 600D",,
WOR129,"WORKTOP, 2400W 600D",,
WOR135,"WORKTOP, 3000W 600D",,
WOR191,"WORKTOP, stainless steel, freestanding, 1200W 750D",,
WOR761,"WORKTOP, 2000W 700D",,
WOR9008,"WORKTOP, 2100W 600D",,
WOR9036,"WORKTOP, 2000W 700D",,
WOR9039,"WORKTOP, 1800W 800D",,
WOR9042,"WORKTOP, 1200W 600D",,
XRA010,"X-RAY CS, ceiling suspensions, with telescopic tube of column and rotating/tilting arm",,
XRA011,"X-RAY CS CONTROL DESK UNIT, freestanding, (Part of XRA023)",,
XRA012,"X-RAY CS STAND for control unit, (Part of XRA023)",,
XRA013,"X-RAY CS GENERATOR CABINET, (Part of XRA010)",,
XRA015,"X-RAY CS RAIL, ceiling suspensions, 6280mm, (Part of XRA010)",,
XRA023,"X-RAY CONTROL CABINET for generator, freestanding, 950H 850W 535D",,
XRA036,"X-RAY SCULL, ceiling mounted",,
XRA037,"X-RAY GENERATOR CABINET, (Part of XRA036)",,
XRA041,X-RAY TABLE - digital,,
XRA043,"X-RAY UNIT (tube), with ceiling suspensions track - digital",17/04/19 v0.1,
XRA045,X-RAY CHEST stand - digital,,
XRA048,X-RAY CONTROL CONSOLE - digital,,
XRA-07,"X-Ray, Digital, Generator Cabinet and outlet (XRA049 x1, OUT9012 x1)",,
MON-14,"Monitor, vital signs , bp, temp, oxygen saturation on trolley",,
PAT-02,"PATIENT SLIDE, with bracket",,
COM-12,"COMPUTER, thin client, twin screen (COM9007 x 1, COM9015 x 1, COM033 x 1, BRA9011 x1, TEL9001 x 1)",,
SHE222,"SHELF, 1200W 400D",,
SMC051,"CABINET, tall, modular storage, for 600 facing inserts, open, on plinth, 2100H",,
SMF011,"SHELVING FRAME, modular storage, 1 bay, with 5 shelves, 2130H 1000W 465D",,
SMF013,"SHELVING FRAME, modular storage, 1 bay, with 5 shelves, 2130H 1000W 665D",,
STO008,"STOOL, kick, retractable castors",,
